239.06,0.66,1.00,0.97,1287.00,776.00,0.30,3
245.04,0.68,1.00,0.96,2261.00,521.67,0.29,4
223.12,0.73,2.00,0.92,2185.00,487.00,0.35,5
231.09,0.73,2.00,0.90,1866.00,793.00,0.34,5
239.06,0.66,1.00,0.97,1435.00,638.00,0.37,3
224.12,0.72,2.00,0.85,2097.00,775.00,0.36,5
210.18,0.71,3.00,0.79,1733.00,757.00,0.33,2
246.04,0.72,5.00,0.84,3422.00,787.00,0.38,0
226.11,0.68,1.00,0.97,1563.00,743.00,0.31,3
208.18,0.72,2.00,0.88,1888.00,821.00,0.33,2
213.16,0.72,3.00,0.91,2303.00,491.00,0.35,2
214.16,0.72,3.00,0.89,2153.00,489.50,0.37,5
243.05,0.65,1.00,0.97,1382.00,378.50,0.36,3
194.24,0.71,2.00,0.83,1239.00,66.00,0.48,0
250.02,0.74,1.00,0.72,1864.00,280.00,0.55,0
251.02,0.73,3.00,0.43,2748.00,222.00,0.53,0
233.09,0.68,1.00,0.96,1540.00,759.00,0.32,4
159.47,0.71,2.00,0.79,1463.00,331.00,0.35,0
238.07,0.73,5.00,0.80,1741.00,758.00,0.37,5
147.42,0.68,0.00,0.00,1514.00,0.00,0.34,0
220.14,0.73,5.00,0.82,1885.00,377.00,0.36,5
234.08,0.71,2.00,0.74,2042.00,717.00,0.35,5
205.20,0.71,8.00,0.66,2001.00,687.00,0.35,5
217.15,0.71,5.00,0.93,2322.00,964.00,0.39,5
251.02,0.67,1.00,0.98,1595.00,747.00,0.37,3
183.28,0.71,4.00,0.81,2075.00,841.00,0.36,5
222.13,0.66,0.00,0.98,1338.00,756.00,0.31,3
141.45,0.70,1.00,0.85,1540.00,382.00,0.34,0
211.17,0.71,5.00,0.83,2029.00,765.00,0.37,5
217.15,0.69,1.00,0.96,2887.00,800.00,0.34,4
142.44,0.73,1.00,0.97,1184.00,655.00,0.31,3
201.21,0.72,5.00,0.79,1883.00,753.00,0.35,5
231.09,0.72,0.00,0.84,2668.00,428.50,0.43,5
228.11,0.70,5.00,0.86,2062.00,792.00,0.36,5
235.08,0.68,1.00,0.98,1480.00,868.00,0.32,3
240.06,0.67,1.00,0.97,2137.00,960.00,0.36,3
134.47,0.68,1.00,0.97,1165.00,549.00,0.31,3
230.10,0.70,0.00,0.00,1832.00,0.00,0.39,0
232.09,0.72,4.00,0.76,2112.00,762.00,0.40,5
147.42,0.70,3.00,0.97,2219.00,1452.00,0.26,3
233.09,0.71,2.00,0.92,2091.00,1392.00,0.33,0
215.16,0.71,0.00,0.00,836.00,0.00,0.51,0
223.12,0.68,4.00,0.92,1659.00,699.00,0.35,3
214.16,0.69,1.00,0.78,2019.00,696.00,0.41,5
227.11,0.72,2.00,0.74,2605.00,433.00,0.43,5
181.29,0.73,1.00,0.90,1016.00,38.25,0.39,0
222.13,0.71,3.00,0.83,2399.00,473.50,0.41,5
228.11,0.71,1.00,0.83,1910.00,240.00,0.39,5
197.23,0.69,1.00,0.98,1607.00,720.00,0.34,3
223.12,0.71,1.00,0.78,2758.00,913.00,0.42,5
251.02,0.63,1.00,0.98,1277.00,728.00,0.33,3
249.02,0.66,1.00,0.98,1723.00,367.00,0.38,3
